,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_shrinkage,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,Outer fold iteration,Best model,Test error
4,0.09291521708170573,0.02101912489170499,0.00034173329671223957,0.00048328386292491825,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.9083333333333333,0.89375,0.8916666666666667,0.8979166666666667,0.007414637675021718,1,0.9458333333333333,0.9416666666666667,0.9416666666666667,0.9430555555555555,0.0019641855032959585,5,0,0.1020833333333333
0,0.13974833488464355,0.005738164217338661,0.0,0.0,svd,,{'solver': 'svd'},0.8520833333333333,0.86875,0.8520833333333333,0.8576388888888888,0.007856742013183886,3,0.9791666666666666,0.9708333333333333,0.9677083333333333,0.9725694444444444,0.00483624592957782,6,0,0.14236111111111116
1,0.0679319699605306,0.00972324645562022,0.0,0.0,lsqr,,"{'shrinkage': None, 'solver': 'lsqr'}",0.8520833333333333,0.86875,0.8520833333333333,0.8576388888888888,0.007856742013183886,3,0.9791666666666666,0.9708333333333333,0.9677083333333333,0.9725694444444444,0.00483624592957782,6,0,0.14236111111111116
2,0.06019322077433268,0.008001984186276307,0.0,0.0,eigen,,"{'shrinkage': None, 'solver': 'eigen'}",0.8520833333333333,0.86875,0.8520833333333333,0.8576388888888888,0.007856742013183886,3,0.9791666666666666,0.9708333333333333,0.9677083333333333,0.9725694444444444,0.00483624592957782,6,0,0.14236111111111116
3,0.07320864995320638,0.007347898115660457,0.00521079699198405,0.00736917977683677,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.8916666666666667,0.925,0.8875,0.9013888888888889,0.01678200829665915,1,0.9458333333333333,0.9354166666666667,0.9427083333333334,0.9413194444444445,0.004364515656241843,6,1,0.0986111111111111
4,0.1028757890065511,0.016985774526538183,0.000333865483601888,0.00047215709491804224,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.8916666666666667,0.925,0.8875,0.9013888888888889,0.01678200829665915,1,0.9458333333333333,0.9354166666666667,0.9427083333333334,0.9413194444444445,0.004364515656241843,6,0,0.0986111111111111
0,0.16742904980977377,0.02343497359179621,0.0,0.0,svd,,{'solver': 'svd'},0.8583333333333333,0.8458333333333333,0.8645833333333334,0.8562500000000001,0.007795119555779057,3,0.9802083333333333,0.9739583333333334,0.975,0.9763888888888889,0.0027340305118096564,7,0,0.14374999999999993
1,0.05298240979512533,0.007227849349185643,0.0051686763763427734,0.007309612230941374,lsqr,,"{'shrinkage': None, 'solver': 'lsqr'}",0.8583333333333333,0.8458333333333333,0.8645833333333334,0.8562500000000001,0.007795119555779057,3,0.9802083333333333,0.9739583333333334,0.975,0.9763888888888889,0.0027340305118096564,7,0,0.14374999999999993
2,0.05679639180501302,0.00938900743691647,0.00033291180928548175,0.0004708083957656936,eigen,,"{'shrinkage': None, 'solver': 'eigen'}",0.8583333333333333,0.8458333333333333,0.8645833333333334,0.8562500000000001,0.007795119555779057,3,0.9802083333333333,0.9739583333333334,0.975,0.9763888888888889,0.0027340305118096564,7,0,0.14374999999999993
3,0.07658012708028157,0.00962816794544353,0.000333706537882487,0.0004719323117259841,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.8958333333333334,0.8958333333333334,0.9020833333333333,0.8979166666666667,0.0029462782549439376,1,0.9364583333333333,0.9354166666666667,0.9302083333333333,0.9340277777777777,0.002734030511809656,7,1,0.1020833333333333
4,0.1536398728688558,0.05434426433170881,0.0009300708770751953,0.0007276455612965758,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.8958333333333334,0.8958333333333334,0.9020833333333333,0.8979166666666667,0.0029462782549439376,1,0.9364583333333333,0.9354166666666667,0.9302083333333333,0.9340277777777777,0.002734030511809656,7,0,0.1020833333333333
0,0.14549541473388672,0.005203227912161629,0.0003368059794108073,0.00047631558397111706,svd,,{'solver': 'svd'},0.8479166666666667,0.84375,0.86875,0.8534722222222223,0.01093612204723864,3,0.975,0.9833333333333333,0.9729166666666667,0.9770833333333333,0.004500514373894331,8,0,0.1465277777777777
1,0.061274210611979164,0.001300029947548174,0.005217631657918294,0.007378845454095269,lsqr,,"{'shrinkage': None, 'solver': 'lsqr'}",0.8479166666666667,0.84375,0.86875,0.8534722222222223,0.01093612204723864,3,0.975,0.9833333333333333,0.9729166666666667,0.9770833333333333,0.004500514373894331,8,0,0.1465277777777777
2,0.09804693857828777,0.059602808571930406,0.0005673567454020182,0.0008023636040513934,eigen,,"{'shrinkage': None, 'solver': 'eigen'}",0.8479166666666667,0.84375,0.86875,0.8534722222222223,0.01093612204723864,3,0.975,0.9833333333333333,0.9729166666666667,0.9770833333333333,0.004500514373894331,8,0,0.1465277777777777
3,0.08743373552958171,0.005497793300824233,0.0,0.0,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.8895833333333333,0.8833333333333333,0.9083333333333333,0.8937499999999999,0.010622957319984982,1,0.9395833333333333,0.946875,0.928125,0.9381944444444444,0.007717399573226708,8,1,0.10625000000000007
4,0.1063219706217448,0.005922546661058862,0.0,0.0,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.8895833333333333,0.8833333333333333,0.9083333333333333,0.8937499999999999,0.010622957319984982,1,0.9395833333333333,0.946875,0.928125,0.9381944444444444,0.007717399573226708,8,0,0.10625000000000007
0,0.16388829549153647,0.01382473245939596,0.002653360366821289,0.0037524182166219174,svd,,{'solver': 'svd'},0.8479166666666667,0.89375,0.8479166666666667,0.8631944444444445,0.021606040536255647,3,0.9802083333333333,0.978125,0.978125,0.9788194444444445,0.0009820927516479793,9,0,0.1368055555555555
1,0.08496713638305664,0.023261979693873214,0.0,0.0,lsqr,,"{'shrinkage': None, 'solver': 'lsqr'}",0.8479166666666667,0.89375,0.8479166666666667,0.8631944444444445,0.021606040536255647,3,0.9802083333333333,0.978125,0.978125,0.9788194444444445,0.0009820927516479793,9,0,0.1368055555555555
2,0.06510146458943684,0.015037903036174943,0.0009281635284423828,0.00072920347428059,eigen,,"{'shrinkage': None, 'solver': 'eigen'}",0.8479166666666667,0.89375,0.8479166666666667,0.8631944444444445,0.021606040536255647,3,0.9802083333333333,0.978125,0.978125,0.9788194444444445,0.0009820927516479793,9,0,0.1368055555555555
3,0.11084818840026855,0.012837987732438333,0.0,0.0,lsqr,auto,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.9083333333333333,0.91875,0.8833333333333333,0.9034722222222222,0.01486176011043937,1,0.9354166666666667,0.9375,0.946875,0.9399305555555556,0.004983576421669218,9,1,0.09652777777777777
4,0.09137757619222005,0.004773170100540431,0.0006671746571858724,0.0004717649392841985,eigen,auto,"{'shrinkage': 'auto', 'solver': 'eigen'}",0.9083333333333333,0.91875,0.8833333333333333,0.9034722222222222,0.01486176011043937,1,0.9354166666666667,0.9375,0.946875,0.9399305555555556,0.004983576421669218,9,0,0.09652777777777777
